school_id,school_name,sort_name,text
13001,北京大学,PKU,北京大学创办于1898年，初名京师大学堂，是中国第一所国立综合性大学，也是当时中国最高教育行政机关。辛亥革命后，于1912年改为现名。 学校为教育部直属全国重点大学，国家“211工程”、“985工程”建设大学、C9联盟，以及东亚研究型大学协会、国际研究型大学联盟、环太平洋大学联盟、东亚四大学论坛的重要成员。
9002,南京大学,NJU,南京大学坐落于钟灵毓秀、虎踞龙蟠的金陵古都，其前身是创建于1902年的三江师范学堂，此后历经两江师范学堂、南京高等师范学校、国立东南大学、第四中山大学、国立中央大学、国立南京大学等历史时期。经过百余年的积淀，现已发展成为国内顶尖、世界知名的一流大学。南京大学是国家“211工程”重点支持的大学，首批 “985工程”重点建设的9所高水平大学之一，首批“基础学科拔尖学生培养试验计划”、“2011计划”入选高校之一，中国大学C9联盟、东亚研究型大学协会、环太平洋大学联盟的成员。
6001,浙江大学,ZJU,浙江大学（Zhejiang University）简称“浙大”，前身是1897年创建的求是书院，是中国人自己最早创办的现代高等学府之一。1928年更名为国立浙江大学。中华民国时期，浙江大学在竺可桢老校长的带领下，成长为中国最顶尖的大学之一，被英国著名学者李约瑟誉为“东方剑桥”。浙大是中国首批7所“211工程”大学，首批9所“985工程”重点建设的全国重点大学，中国大学C9联盟、世界大学联盟、环太平洋大学联盟的成员，是联合国教科文组织全球大学创新联盟亚太中心牵头单位，是中国著名顶尖学府之一。
9003,复旦大学,FUDAN,复旦大学，始建于1905年，初名复旦公学，创始人为中国近代知名教育家马相伯，首任校董为国父孙中山先生。复旦大学是教育部与上海市共建的首批全国重点大学，中国首批7所211工程、9所985工程大学，首批“珠峰计划”、“111计划”和中国顶尖学府“九校联盟”（C9联盟）的成员大学。学校学术交流活跃，涵盖了文学、理学、医学、哲学、经济学、法学、历史学、工学等十大学科门类，拥有邯郸、枫林、张江、江湾四大校区。
8011,北京航空航天大学,BUAA,北京航空航天大学（Beihang University）是中华人民共和国工业和信息化部直属的一所综合性全国重点大学，是国家“985工程”、“211工程”重点建设高校，是首批16所全国重点大学之一，入选“珠峰计划”、“2011计划”、“111计划”、“卓越工程师教育培养计划”、“卓越法律人才教育培养计划”，是“国际宇航联合会”、”中欧精英大学联盟“、“T.I.M.E.联盟”、“中国-西班牙大学联盟”、“中俄工科大学联盟”成员，为中管副部级高校，由中国工程院、工信部、教育部、北京市共建，设有研究生院。
9010,武汉大学,WHU,"武汉大学是国家教育部直属重点综合性大学，是国家“985工程”和“211工程”重点建设高校。
    武汉大学溯源于1893年清末湖广总督张之洞奏请清政府创办的自强学堂，历经传承演变，1928年定名为国立武汉大学，是近代中国第一批国立大学。1946年，学校已形成文、法、理、工、农、医 6大学院并驾齐驱的办学格局。
    2000年，武汉大学与武汉水利电力大学、武汉测绘科技大学、湖北医科大学合并组建新的武汉大学，揭开了学校改革发展的崭新一页。合校十多年来，学校综合实力和核心竞争力不断提升。"
8007,北京理工大学,BIT,北京理工大学（Beijing Institute of Technology），是中华人民共和国工业和信息化部直属的以理工为主干，工、理、管、文协调发展的全国重点大学，是首批“211工程”和“985工程”重点建设高校之一，是首批16所全国重点高校之一，是“111计划”、“卓越工程师教育培养计划”、“国家建设高水平大学公派研究生项目”入选高校之一，建有研究生院。学校前身为1940年创建于延安的延安自然科学院，是中国共产党创办的第一所理工科大学；1988年，学校更名为北京理工大学。
9020,中国农业大学,CAU,"中国农业大学起源于1905年成立的京师大学堂农科大学。1995年9月，经国务院批准，北京农业大学与北京农业工程大学合并成立新的中国农业大学。中国农业大学是中国现代农业高等教育的起源地，是国家“211工程”和“985工程”重点建设的教育部直属高校。
历经百年的世纪风雨，中国农业大学已经发展成为一所以农学、生命科学和农业工程为特色和优势的研究型大学，形成了特色鲜明、优势互补的农业与生命科学、资源与环境科学、信息与计算机科学、农业工程与自动化科学、经济管理与社会科学等学科群。"
9018,北京师范大学,BNU,北京师范大学是教育部直属重点大学，是一所以教师教育、教育科学和文理基础学科为主要特色的著名学府。学校的前身是1902年创立的京师大学堂师范馆，1908年改称京师优级师范学堂，独立设校，1912年改名为北京高等师范学校。1923年学校更名为北京师范大学，成为中国历史上第一所师范大学。1931年、1952年北平女子师范大学、辅仁大学先后并入北京师范大学。
9022,中央民族大学,MUC,中央民族大学是党和国家为解决中国民族问题、培养少数民族干部和高级专门人才而创建的一所具有鲜明特色的高等学校，在我国高等教育体系和民族团结进步事业中具有不可替代的地位。学校前身是1941年成立的延安民族学院。新中国成立后，经中央人民政府批准，1951年在北京正式成立中央民族学院，乌兰夫任首任院长。1993年学校更名为中央民族大学。在党和国家的高度重视和关怀下，学校先后进入国家“211工程”重点建设大学、国家“985工程”重点建设大学和国家“双一流”建设高校行列。
9006,南开大学,NKU,南开大学（Nankai University），简称南开，肇始于1904年，正式成立于1919年，是由严修、张伯苓秉承教育救国理念创办的综合性大学。1937年校园遭侵华日军炸毁，学校南迁，1938年与北京大学、清华大学在云南昆明合组西南联合大学，为中华民族振兴和国家富强作出了不可磨灭的重要贡献。1946年回天津复校并改为国立。新中国成立后，经历高等学校院系调整，成为文理并重的全国重点大学。
9004,天津大学,TJU,天津大学是教育部直属国家重点大学，其前身为北洋大学，始建于1895年10月2日，是中国第一所现代大学，素以“实事求是”的校训、“严谨治学”的校风和“爱国奉献”的传统享誉海内外。1951年经国家院系调整定名为天津大学，是1959年中共中央首批确定的16所国家重点大学之一，是“211工程”、“985工程”首批重点建设的大学。在党和国家领导的支持和关心下，天津大学已成为一所师资力量雄厚、学科特色鲜明、教育质量和科研水平居于国内一流、在国际上有较大影响的高水平研究型大学。
8009,大连理工大学,DUT,大连理工大学是教育部直属全国重点大学，也是国家“211工程”和“985工程”重点建设高校。学校以培养精英人才、促进科技进步、传承优秀文化、引领社会风尚为宗旨，秉承“海纳百川、自强不息、厚德笃学、知行合一”的精神，致力于创造、发现、传授、保存和应用知识，勇于担当社会责任，服务国家，造福人类。
8008,吉林大学,JLU,吉林大学坐落在吉林省长春市，是教育部直属的全国重点综合性大学，1995年首批通过国家教委“211工程”审批，2001年被列入“985工程”国家重点建设的大学之一。 吉林大学于2000年6月12日由原吉林大学、吉林工业大学、白求恩医科大学、长春科技大学、长春邮电学院合并组建而成。2004年8月29日，原中国人民解放军军需大学并入吉林大学。合并前的六所学校，都有着光荣的历史。吉林大学已成为我国目前办学规模最大的高等学府，在人才培养、科学研究、学科建设、师资队伍等方面呈现出广泛的发展前景。
9005,哈尔滨工业大学,HIT,哈尔滨工业大学（Harbin Institute of Technology），简称哈工大，是首批中央直属管理、工业和信息化部直属的全国重点大学，由工信部、教育部、黑龙江省共建的国家重点大学，是首批进入国家“211工程”、“985工程”、“111计划”和首批“2011计划”、首批“卓越计划”建设的若干所大学之一，是中国顶尖学府“九校联盟”的重要成员。学校坐落在中国北方冰城哈尔滨市，同时在威海市和深圳市分别设有哈尔滨工业大学（威海）和哈尔滨工业大学深圳研究生院，形成了“一校三区”的办学格局。
8012,东北大学,NEU,东北大学建于1923年4月，是一所具有爱国主义光荣传统的大学。1949年3月，在东北大学工学院、理学院（部分）的基础上成立了沈阳工学院。1950年8月，沈阳工学院、抚顺矿专和鞍山工专合组为东北工学院。1960年被列为全国64所重点大学之一。是国务院首批批准有权授予学士、硕士和博士学位的大学。1993年3月8日，东北工学院复名为东北大学。1998年9月，东北大学由原冶金部属院校划转为教育部直属高校。学校是国家首批“211工程”和“985工程”重点建设的高校，并实现教育部、辽宁省、沈阳市重点共建。
